Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
UClean,Clean Energy,Seed,40000000,India,UClean is a tech enabled laundry service provider.,2018-01-01
Coutloot,E-Commerce,Seed,1000000,Mumbai,The Fashion Re-commerce platform.,2018-01-01
Letstrack,Apps,Seed,1700000,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018-01-01
Pooltoo,Logistics & Supply Chain,Seed,3000000,New Delhi,Pooltoo offers a premium ride sharing platform.,2018-01-01
Finzy,Financial Services,Seed,1300000,Bangalore,finzy is the premier peer to peer lending solution in India.,2018-01-01
Fitternity,Fitness,Seed,2000000,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018-01-01
Keito,Artificial Intelligence,Seed,3000000,Pune,Building an Intelligent Digital Assistant.,2018-01-01
Tolet for Students,Hospitality,Seed,5000000,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018-01-01
Chai Kings,Food And Beverage,Seed,20000000,Chennai,Chai Kings is a tea retail chain,2018-01-01
Dainik Jagran,Media And Entertainment,Seed,40000000,Kanpur,Dainik Jagran is a media and communications group.,2018-01-01
Playtoome,Broadcasting,Seed,20000000,Bengaluru,Playtoome is a live entertainment destination,2018-01-01
ONGO Framework,B2B,Angel,1000000,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018-01-01
Notesgen,Edtech,Seed,12500000,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018-01-01
Arogya MedTech,Health Care,Seed,15000000,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018-01-01
Propshop24,E-Commerce,Seed,500000,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018-01-01
myUpchar,Health Care,Series A,5000000,New Delhi,To bring health issues to people in their language.,2018-01-01
MissMalini Entertainment,Fintech,Seed,104000000,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018-01-01
Rooter,Sports,Seed,45000000,India,Rooter is a mobile-based platform,2018-01-01
ZestMoney,Big Data,Series A,13400000,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018-01-01
alphaics Corporation,Cloud Computing,Seed,3000000,Bengaluru,Advancing AI compute,2018-01-01
MyDentistChoice,Health Care,Seed,500000,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018-01-01
Sattviko,Food Industry,Angel,3000000,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018-01-01
Sensibull,Trading Platform,Seed,25000000,Bangalore,Investment Management Platform,2018-01-01
Bombay Shaving Company,Consumer Goods,Series A,3000000,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018-01-01
MedCords,Wellness,Seed,26400000,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018-01-01
University Living,Education,Seed,3000000,New Delhi,University Living is an online global student housing marketplace.,2018-01-01
&ME,Food And Beverage,Seed,3000000,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018-01-01
Enakshi,Fashion,Seed,8000000,Ahmedabad,Enakshi is an online apparel brand for women.,2018-01-01
Ultraviolette Automotive,Automotive,Series A,60000,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018-01-01
Inthree Access,Consulting,Series A,4000000,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018-01-01
BUGWORKS Research India,Biotechnology,Series A,9000000,Bangalore,BUGWORKS is a drug discovery company.,2018-01-01
Guardian.in,Health Care,Seed,3000000,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018-01-01
PrestLoans,Credit,Seed,100000,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018-01-01
Wimoxez,Internet,Seed,20000,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018-01-01
India Accelerator,Communities,Angel,3000000,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018-01-01
HappyEMI,Consumer,Seed,1000000,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018-01-01
Wishup,Consumer Applications,Seed,3000000,Azadpur,Premium Personal Assistance service,2018-01-01
Hansel.io,Mobile,Series A,4000000,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018-01-01
Propelld,Education,Seed,250000,Bengaluru,Propelld is a student education financing platform.,2018-01-01
PivotRoots,Advertising,Series A,3000000,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018-01-01
ZiffyHomes,Marketplace,Seed,120000,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018-01-01
Carmesi,Health Care,Seed,34000000,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018-01-01
OckyPocky,E-Learning,Angel,3000000,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018-01-01
Racetrack,Artificial Intelligence,Seed,342000000,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018-01-01
WHR,Health Care,Seed,143145,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018-01-01
Asteria Aerospace,Aerospace,Seed,3000000,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018-01-01
FabAlley,E-Commerce,Series B,600000000,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018-01-01
Tranzmeo,Artificial Intelligence,Pre-Seed,3000000,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018-01-01
SBI Life,Insurance,Private Equity,742000000,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018-01-01
Studds Accessories,E-Commerce,Private Equity,1000000000,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018-01-01
Design Cafe,Home Decor,Series B,2000000000,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018-01-01
NoPaperForms Solutions Pvt. Ltd.,Edtech,Series B,3980000,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018-01-01
Rays Power Infra,Energy,Venture - Series Unknown,2000000000,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018-01-01
AuthMetrik,B2B,Grant,10000,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018-01-01
Khidki,Artificial Intelligence,Seed,3000000,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018-01-01
LetsTransport,Logistics,Series B,1000000000,Bangalore,Lets transport is a logistics solution provider.,2018-01-01
Next Digital Solutions,Digital Marketing,Angel,100000,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018-01-01
Portea Medical,Health Care,Debt,250000000,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018-01-01
Aavas Financiers,Finance,Debt,2000000000,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018-01-01
Swiggy,Food Industry,Series H,1000000000,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018-01-01
Milkbasket,E-Commerce,Series A,7000000,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018-01-01
Nutrisattva (Proliva),Fitness,Angel,3000000,Anand,Nutrisattva is a protein innovation compan,2018-01-01
Toppr,Edtech,Series C,35000000,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018-01-01
Jagaran Microfin,Fintech,Debt,550000000,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018-01-01
Vivriti Capital,Financial Services,Venture - Series Unknown,28500000,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018-01-01
Be U Salons,Apps,Seed,30000000,New Delhi,Be U is India's first subscription based Salon Chain.,2018-01-01
Impact Guru,Creative Agency,Series A,2000000,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018-01-01
MobiKwik,Consumer Lending,Series E,240000000,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018-01-01
Stones2Milestones,E-Learning,Seed,3000000,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018-01-01
Generico,Health Care,Series A,3000000,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018-01-01
Adiuvo Diagnostics,Health Diagnostics,Seed,3000000,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018-01-01
DataTrained,Edtech,Seed,120000000,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018-01-01
OneAssist,Financial Services,Debt,2400000,Mumbai,OneAssist is a protection & assistance services platform.,2018-01-01
Satin Creditcare Network Limited (SCNL),Banking,Debt,30000000,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018-01-01
APAC Financial Services,Finance,Private Equity,2500000000,Mumbai,APAC Financial Services is a financial services platform.,2018-01-01
Moglix,B2B,Series C,23000000,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018-01-01
SEDEMAC Mechatronics,Automotive,Venture - Series Unknown,3000000,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018-01-01
MadGuy Labs,E-Learning,Venture - Series Unknown,150000,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018-01-01
Dee Dee Labs,Embedded Systems,Seed,3000000,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018-01-01
FLEECA,Fintech,Seed,3000000,Jaipur,FLEECA is a Tyre Care Provider company.,2018-01-01
Shop101,Apps,Series B,11000000,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018-01-01
FeedMyPockets,Advertising,Seed,44000000,Bangalore City,On Demand Staffing Platform,2018-01-01
Housejoy,Beauty,Series B,3240000,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018-01-01
Ambee,Health Care,Angel,3000000,Bangalore,Ambee is an Environment analytics startup.,2018-01-01
FoodBuddy,Food Industry,Seed,60000000,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018-01-01
Ninjacart,Agritech,Series B,2500000000,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018-01-01
Olly Smart Credit Card,Credit Cards,Seed,3000000,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018-01-01
Zestl,Software,Seed,3000000,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018-01-01
BYJU’S,Edtech,Private Equity,540000000,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018-01-01
Wakefit,Manufacturing,Venture - Series Unknown,650000000,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018-01-01
Hero Electric,Manufacturing,Venture - Series Unknown,1600000000,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018-01-01
Pentation Analytics,Information Services,Seed,3000000,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018-01-01
PerkFinance,Consumer Lending,Seed,900000,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018-01-01
Roposo,Internet,Series C,10000000,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018-01-01
Plum Goodness,Beauty,Series A,3000000,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018-01-01
Drstore,Hospital,Seed,3000000,Mumbai,Drstore is a exclusive e- commerce platform.,2018-01-01
Wow Venue,Events,Venture - Series Unknown,1500000,Mumbai,Wow Venue is an online platform.,2018-01-01
Chizel,3D Printing,Seed,3000000,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018-01-01
OTO Capital,Automotive,Seed,50000000,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018-01-01
Boodmo,Automotive,Seed,70000000,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018-01-01
Khabri,Apps,Seed,3000000,Haryana,Khabri is a digital audio platform for content in vernacular.,2018-01-01
MyNewCar.in,Automotive,Venture - Series Unknown,1000000,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018-01-01
HalaPlay Technologies,Digital Entertainment,Series A,5000000,Bangalore,A daily fantasy sports platform.,2018-01-01
PlanetSpark,E-Learning,Seed,16000000,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018-01-01
WheelsEMI,Fintech,Series B,14000000,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018-01-01
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,102500000,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018-01-01
OYO,Hospitality,Series E,100000000,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018-01-01
Quikr,Classifieds,Debt,550000000,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018-01-01
Tabono,Sports,Seed,3000000,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018-01-01
LearnApp,Banking,Seed,20000000,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018-01-01
Shopkirana,E-Commerce,Venture - Series Unknown,2000000,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018-01-01
Fric Bergen,Fintech,Venture - Series Unknown,3000000,Alwar,Fric Bergen is a leader in the specialty food industry.,2018-01-01
Articbot,Artificial Intelligence,Grant,1200000,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018-01-01
BuildSupply,Enterprise Resource Planning (Erp),Series A,250000000,Gurgaon,India’s most advanced ERP system for the real estate,2018-01-01
Fusion Microfinance,Banking,Series E,5200000000,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018-01-01
Any time Doctor,Software,Angel,3000000,Chennai,Anytime Doctor is a Software company.,2018-01-01
Go Payments,Information Services,Corporate Round,3000000,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018-01-01
Guiddoo World,Audio,Seed,800000,Mumbai,We build In-Destination Experiences!,2018-01-01
ION Energy,Energy,Venture - Series Unknown,1041000,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018-01-01
UnoTag,Artificial Intelligence,Pre-Seed,100000,Bangalore,SaaS to verify counterfeit,2018-01-01
CivilCops,Government,Pre-Seed,100000,Gurgaon,Gov-Tech,2018-01-01
Rockmetric,Information Technology,Grant,3000000,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018-01-01
Classworks India,Education,Venture - Series Unknown,100000,Chennai,"Saas, Web App, Mobile App, School Education",2018-01-01
Snapmint,Consumer Lending,Seed,3000000,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018-01-01
artbandhu,Digital Media,Pre-Seed,15000,Bangalore,Ai platform for Art and Creative Community,2018-01-01
Survaider,Business Intelligence,Seed,500000,Bengaluru,Stethoscope for customer feedback !,2018-01-01
Credy,Credit,Seed,1400000,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018-01-01
iChamp,E-Learning,Seed,5000000,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018-01-01
Qandle,Software,Seed,1200000,Gurgaon,A cloud-based HR management and employee engagement platform.,2018-01-01
Avishkaar Box,Children,Seed,50000000,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018-01-01
Gegadyne Energy,Automotive,Angel,3000000,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018-01-01
HyperXchange,E-Commerce,Series A,1000000,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018-01-01
Deftouch,Fintech,Seed,3000000,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018-01-01
Doodhwala,Food Industry,Seed,2200000,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018-01-01
DronaHQ,Mobile,Angel,500000,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018-01-01
FastFox,Rental,Series A,100000000,Gurgaon,FastFox: Market Network for Home Rentals (India),2018-01-01
Colive.in,Consumer,Seed,1800000,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018-01-01
Agricxlab Private Limited,B2B,Seed,500000,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018-01-01
Corefactors,Fintech,Seed,3000000,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018-01-01
Fincash.com,Wealth Management,Seed,150000,Mumbai,A startup in the personal finance space in India .,2018-01-01
Pandorum Technologies,Biotechnology,Series A,3600000,Bengaluru,Bengaluru based biotech startup.,2018-01-01
Shirsa Labs,Education,Seed,500000,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018-01-01
PetSutra,Veterinary,Seed,9500000,Gurgaon,Gurugram-based Online petcare platform.,2018-01-01
Awaaz De,Internet,Angel,3000000,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018-01-01
PinkBlue,Health Care,Seed,300000,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018-01-01
Eduvanz,Finance,Angel,500000,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018-01-01
Rupeek,Financial Services,Series A,6830000,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018-01-01
Backpacker Panda Holidays Private Limited,Tourism,Series A,1400000,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018-01-01
Shape (School Health and Physical Education),Education,Seed,200000,Pune,Physical education start up,2018-01-01
Placio,Hospitality,Seed,2000000,Noida,Placio is a student housing and a complete broker-free platform.,2018-01-01
Aviom India Housing Finance,Finance,Series A,150000000,New Delhi,Delhi based housing finance company.,2018-01-01
GenRobotic,Market Research,Seed,3000000,Trivandrum,A Robotic Company.,2018-01-01
HeyHolidays,Tourism,Seed,1000000,Bangalore,"HeyHolidays, a global player in online vacation rentals.",2018-01-01
Pratilipi,Digital Media,Series A,4300000,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018-01-01
SectorQube,Consumer Electronics,Seed,3000000,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018-01-01
Food Memories,Food And Beverage,Seed,3000000,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018-01-01
ZAMROO,Internet,Seed,3000000,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018-01-01
Silversparro Technologies Pvt. Ltd,Analytics,Seed,300000,Gurgaon,Silversparro is a deep learning technology solution provider.,2018-01-01
Creator’s Gurukul,Facilities Support Services,Angel,3000000,Gurgaon,A coworking space provider.,2018-01-01
Emflux Motors,Automotive,Seed,364846,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018-01-01
Tricog Health Services Pvt Ltd,Health Care,Series A,4000000,Bangalore,Predictive Healthcare Analytics Company,2018-01-01
Scapic,Cloud Computing,Seed,500000,Bangalore,Virtual/Augmented Reality Start Up .,2018-01-01
6Degree,Fashion,Seed,400000,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018-01-01
Chrysalis (EZ Vidya),Education,Seed,3000000,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018-01-01
Ekincare,Medical,Series A,1500000,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018-01-01
Streo,Music Streaming,Seed,3000000,Gurgaon,"Live stream music from nightclubs, bars & festivals!",2018-01-01
Groww,Finance,Seed,120000,Kormangala,Groww offers a new way of investing money.,2018-01-01
Cell Propulsion,Fintech,Seed,7000000,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018-01-01
Chezuba,Internet,Angel,1400000,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018-01-01
Ontrack Technologies Pvt. Ltd,Retail,Seed,3000000,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018-01-01
Wealthtrust,Finance,Seed,500000,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018-01-01
Faclon Labs,Cloud Computing,Seed,3000000,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018-01-01
Awign Enterprises,Business Development,Seed,50000000,Bangalore,Operations and manpower outsourcing startup,2018-01-01
CollPoll,Education,Seed,3000000,Bangalore,World-class Enterprise System for Education.,2018-01-01
Zyla Health,Health Care,Seed,3000000,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018-01-01
Hubhopper,Internet,Series A,500000,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018-01-01
Rubix108 Technologies,Information Technology,Seed,1000000,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018-01-01
Workflexi,Human Resources,Seed,10000000,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018-01-01
Streak,Financial Services,Seed,22500000,Bangalore,Algorithmic trading platform.,2018-01-01
Kuants,Financial Services,Seed,5000000,Gurgaon,Algorithmic trading platform.,2018-01-01
